Book,Line,Text
1,23,αἰδεῖσθαί θ’ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·
1,24,"ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,"
1,25,"ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ἐπὶ μῦθον ἔτελλε·"
1,26,μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω
1,27,"ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα,"
1,28,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·
1,29,τὴν δ’ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν
1,30,ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης
1,31,ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·
1,32,ἀλλ’ ἴθι μή μ’ἐρέθιζε σαώτερος ὥς κε νέηαι.
1,33,"ὣς ἔφατ’, ἔδεισεν δ’ὃ γέρων καὶ ἐπείθετο μύθῳ·"
1,34,βῆ δ’ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·
1,35,πολλὰ δ’ἔπειτ’ ἀπάνευθε κιὼν ἠρᾶθ’ ὃ γεραιὸς
1,36,"Ἀπόλλωνι ἄνακτι, τὸν ἠΰκομος τέκε Λητώ·"
1,37,"κλῦθί μευ ἀργυρότοξ’, ὃς Χρύσην ἀμφιβέβηκας"
1,38,"Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,"
1,39,"Σμινθεῦ εἴ ποτέ τοι χαρίεντ’ ἐπὶ νηὸν ἔρεψα,"
1,40,ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί’ ἔκηα
1,41,"ταύρων ἠδ’ αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ·"
1,42,τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.
1,43,"ὣς ἔφατ’ εὐχόμενος, τοῦ δ’ἔκλυε Φοῖβος Ἀπόλλων,"
1,44,"βῆ δὲ κατ’ Οὐλύμποιο καρήνων χωόμενος κῆρ,"
1,45,τόξ’ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην·
1,46,"ἔκλαγξαν δ’ἄρ’ ὀϊστοὶ ἐπ’ ὤμων χωομένοιο,"
1,47,αὐτοῦ κινηθέντος· ὃ δ’ἤϊε νυκτὶ ἐοικώς.
1,48,"ἕζετ’ ἔπειτ’ ἀπάνευθε νεῶν, μετὰ δ’ἰὸν ἕηκε·"
1,49,δεινὴ δὲ κλαγγὴ γένετ’ ἀργυρέοιο βιοῖο·
1,50,"οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,"
1,51,αὐτὰρ ἔπειτ’ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς
1,52,βάλλ’· αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.
1,53,"ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,"
1,54,τῇ δεκάτῃ δ’ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς·
1,55,τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη·
1,56,"κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο."
1,57,"οἳ δ’ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,"
1,58,τοῖσι δ’ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·
1,59,Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω
1,60,"ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,"
1,61,εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς·
1,62,ἀλλ’ ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα
1,63,"ἢ καὶ ὀνειροπόλον, καὶ γάρ τ’ὄναρ ἐκ Διός ἐστιν,"
1,64,"ὅς κ’εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,"
1,65,"εἴτ’ ἄρ’ ὅ γ’εὐχωλῆς ἐπιμέμφεται ἠδ’ ἑκατόμβης,"
1,66,αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων
1,67,βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.
1,68,ἤτοι ὅ γ’ὣς εἰπὼν κατ’ ἄρ’ ἕζετο· τοῖσι δ’ἀνέστη
1,69,"Κάλχας Θεστορίδης οἰωνοπόλων ὄχ’ ἄριστος,"
1,70,"ὃς ᾔδη τά τ’ἐόντα τά τ’ἐσσόμενα πρό τ’ἐόντα,"
1,71,καὶ νήεσσ’ ἡγήσατ’ Ἀχαιῶν Ἴλιον εἴσω
1,72,"ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων·"
1,73,ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν·
1,74,ὦ Ἀχιλεῦ κέλεαί με Διῒ φίλε μυθήσασθαι
1,75,μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος·
1,76,τοὶ γὰρ ἐγὼν ἐρέω· σὺ δὲ σύνθεο καί μοι ὄμοσσον
1,77,ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν·
1,78,"ἦ γὰρ ὀΐομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων"
1,79,Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί·
1,80,κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ·
1,81,"εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,"
1,82,"ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ,"
1,83,ἐν στήθεσσιν ἑοῖσι· σὺ δὲ φράσαι εἴ με σαώσεις.
1,84,τὸν δ’ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,85,’θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα·
1,86,"οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον, ᾧ τε σὺ Κάλχαν"
1,87,"εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,"
1,88,οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο
1,89,σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει
1,90,"συμπάντων Δαναῶν, οὐδ’ ἢν Ἀγαμέμνονα εἴπῃς,"
1,91,ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι.
1,92,καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων·
1,93,"οὔ τ’ἄρ ὅ γ’εὐχωλῆς ἐπιμέμφεται οὐδ’ ἑκατόμβης,"
1,94,"ἀλλ’ ἕνεκ’ ἀρητῆρος ὃν ἠτίμησ’ Ἀγαμέμνων,"
1,95,"οὐδ’ ἀπέλυσε θύγατρα καὶ οὐκ ἀπεδέξατ’ ἄποινα,"
1,96,τοὔνεκ’ ἄρ’ ἄλγε’ ἔδωκεν ἑκηβόλος ἠδ’ ἔτι δώσει·
1,97,οὐδ’ ὅ γε πρὶν Δαναοῖσιν ἀεικέα λοιγὸν ἀπώσει
1,98,πρίν γ’ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην
1,99,"ἀπριάτην ἀνάποινον, ἄγειν θ’ἱερὴν ἑκατόμβην"
1,100,ἐς Χρύσην· τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν.
1,101,ἤτοι ὅ γ’ὣς εἰπὼν κατ’ ἄρ’ ἕζετο· τοῖσι δ’ἀνέστη
1,102,ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων
1,103,ἀχνύμενος· μένεος δὲ μέγα φρένες ἀμφιμέλαιναι
1,104,"πίμπλαντ’, ὄσσε δέ οἱ πυρὶ λαμπετόωντι ἐΐκτην·"
1,105,Κάλχαντα πρώτιστα κάκ’ ὀσσόμενος προσέειπε·
1,106,μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας·
1,107,"αἰεί τοι τὰ κάκ’ ἐστὶ φίλα φρεσὶ μαντεύεσθαι,"
1,108,ἐσθλὸν δ’οὔτέ τί πω εἶπας ἔπος οὔτ’ ἐτέλεσσας·
1,109,καὶ νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις
1,110,"ὡς δὴ τοῦδ’ ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,"
1,111,οὕνεκ’ ἐγὼ κούρης Χρυσηΐδος ἀγλά’ ἄποινα
1,112,"οὐκ ἔθελον δέξασθαι, ἐπεὶ πολὺ βούλομαι αὐτὴν"
1,113,οἴκοι ἔχειν· καὶ γάρ ῥα Κλυταιμνήστρης προβέβουλα
1,114,"κουριδίης ἀλόχου, ἐπεὶ οὔ ἑθέν ἐστι χερείων,"
1,115,"οὐ δέμας οὐδὲ φυήν, οὔτ’ ἂρ φρένας οὔτέ τι ἔργα."
1,116,ἀλλὰ καὶ ὧς ἐθέλω δόμεναι πάλιν εἰ τό γ’ἄμεινον·
1,117,βούλομ’ ἐγὼ λαὸν σῶν ἔμμεναι ἢ ἀπολέσθαι·
1,118,αὐτὰρ ἐμοὶ γέρας αὐτίχ’ ἑτοιμάσατ’ ὄφρα μὴ οἶος
1,119,"Ἀργείων ἀγέραστος ἔω, ἐπεὶ οὐδὲ ἔοικε·"
1,120,λεύσσετε γὰρ τό γε πάντες ὅ μοι γέρας ἔρχεται ἄλλῃ.
1,121,τὸν δ’ἠμείβετ’ ἔπειτα ποδάρκης δῖος Ἀχιλλεύς·
1,122,"Ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,"
1,123,πῶς γάρ τοι δώσουσι γέρας μεγάθυμοι Ἀχαιοί;
1,124,οὐδέ τί που ἴδμεν ξυνήϊα κείμενα πολλά·
1,125,"ἀλλὰ τὰ μὲν πολίων ἐξεπράθομεν, τὰ δέδασται,"
1,126,λαοὺς δ’οὐκ ἐπέοικε παλίλλογα ταῦτ’ ἐπαγείρειν.
1,127,ἀλλὰ σὺ μὲν νῦν τήνδε θεῷ πρόες· αὐτὰρ Ἀχαιοὶ
1,128,"τριπλῇ τετραπλῇ τ’ἀποτείσομεν, αἴ κέ ποθι Ζεὺς"
1,129,δῷσι πόλιν Τροίην εὐτείχεον ἐξαλαπάξαι.
1,130,τὸν δ’ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
1,131,μὴ δ’οὕτως ἀγαθός περ ἐὼν θεοείκελ’ Ἀχιλλεῦ
1,132,"κλέπτε νόῳ, ἐπεὶ οὐ παρελεύσεαι οὐδέ με πείσεις."
1,133,"ἦ ἐθέλεις ὄφρ’ αὐτὸς ἔχῃς γέρας, αὐτὰρ ἔμ’ αὔτως"
1,134,"ἧσθαι δευόμενον, κέλεαι δέ με τήνδ’ ἀποδοῦναι;"
1,135,ἀλλ’ εἰ μὲν δώσουσι γέρας μεγάθυμοι Ἀχαιοὶ
1,136,ἄρσαντες κατὰ θυμὸν ὅπως ἀντάξιον ἔσται·
1,137,εἰ δέ κε μὴ δώωσιν ἐγὼ δέ κεν αὐτὸς ἕλωμαι
1,138,"ἢ τεὸν ἢ Αἴαντος ἰὼν γέρας, ἢ Ὀδυσῆος"
1,139,ἄξω ἑλών· ὃ δέ κεν κεχολώσεται ὅν κεν ἵκωμαι.
1,140,"ἀλλ’ ἤτοι μὲν ταῦτα μεταφρασόμεσθα καὶ αὖτις,"
1,141,"νῦν δ’ἄγε νῆα μέλαιναν ἐρύσσομεν εἰς ἅλα δῖαν,"
1,142,"ἐν δ’ἐρέτας ἐπιτηδὲς ἀγείρομεν, ἐς δ’ἑκατόμβην"
1,143,"θείομεν, ἂν δ’αὐτὴν Χρυσηΐδα καλλιπάρῃον"
1,144,"βήσομεν· εἷς δέ τις ἀρχὸς ἀνὴρ βουληφόρος ἔστω,"
1,145,ἢ Αἴας ἢ Ἰδομενεὺς ἢ δῖος Ὀδυσσεὺς
1,146,"ἠὲ σὺ Πηλεΐδη πάντων ἐκπαγλότατ’ ἀνδρῶν,"
1,147,ὄφρ’ ἥμιν ἑκάεργον ἱλάσσεαι ἱερὰ ῥέξας.
1,148,τὸν δ’ἄρ’ ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,149,’ὤ μοι ἀναιδείην ἐπιειμένε κερδαλεόφρον
1,150,πῶς τίς τοι πρόφρων ἔπεσιν πείθηται Ἀχαιῶν
1,151,ἢ ὁδὸν ἐλθέμεναι ἢ ἀνδράσιν ἶφι μάχεσθαι;
1,152,οὐ γὰρ ἐγὼ Τρώων ἕνεκ’ ἤλυθον αἰχμητάων
1,153,"δεῦρο μαχησόμενος, ἐπεὶ οὔ τί μοι αἴτιοί εἰσιν·"
1,154,"οὐ γὰρ πώποτ’ ἐμὰς βοῦς ἤλασαν οὐδὲ μὲν ἵππους,"
1,155,οὐδέ ποτ’ ἐν Φθίῃ ἐριβώλακι βωτιανείρῃ
1,156,"καρπὸν ἐδηλήσαντ’, ἐπεὶ ἦ μάλα πολλὰ μεταξὺ"
1,157,οὔρεά τε σκιόεντα θάλασσά τε ἠχήεσσα·
1,158,"ἀλλὰ σοὶ ὦ μέγ’ ἀναιδὲς ἅμ’ ἑσπόμεθ’ ὄφρα σὺ χαίρῃς,"
1,159,τιμὴν ἀρνύμενοι Μενελάῳ σοί τε κυνῶπα
1,160,πρὸς Τρώων· τῶν οὔ τι μετατρέπῃ οὐδ’ ἀλεγίζεις·
1,161,"καὶ δή μοι γέρας αὐτὸς ἀφαιρήσεσθαι ἀπειλεῖς,"
1,162,"ᾧ ἔπι πολλὰ μόγησα, δόσαν δέ μοι υἷες Ἀχαιῶν."
1,163,οὐ μὲν σοί ποτε ἶσον ἔχω γέρας ὁππότ’ Ἀχαιοὶ
1,164,Τρώων ἐκπέρσωσ’ εὖ ναιόμενον πτολίεθρον·
1,165,ἀλλὰ τὸ μὲν πλεῖον πολυάϊκος πολέμοιο
1,166,"χεῖρες ἐμαὶ διέπουσ’· ἀτὰρ ἤν ποτε δασμὸς ἵκηται,"
1,167,"σοὶ τὸ γέρας πολὺ μεῖζον, ἐγὼ δ’ὀλίγον τε φίλον τε"
1,168,"ἔρχομ’ ἔχων ἐπὶ νῆας, ἐπεί κε κάμω πολεμίζων."
1,169,"νῦν δ’εἶμι Φθίην δ’,ἐπεὶ ἦ πολὺ φέρτερόν ἐστιν"
1,170,"οἴκαδ’ ἴμεν σὺν νηυσὶ κορωνίσιν, οὐδέ σ’ὀΐω"
1,171,ἐνθάδ’ ἄτιμος ἐὼν ἄφενος καὶ πλοῦτον ἀφύξειν.
1,172,τὸν δ’ἠμείβετ’ ἔπειτα ἄναξ ἀνδρῶν Ἀγαμέμνων·
1,173,"φεῦγε μάλ’ εἴ τοι θυμὸς ἐπέσσυται, οὐδέ σ’ἔγωγε"
1,174,λίσσομαι εἵνεκ’ ἐμεῖο μένειν· πάρ’ ἔμοιγε καὶ ἄλλοι
1,175,"οἵ κέ με τιμήσουσι, μάλιστα δὲ μητίετα Ζεύς."
1,176,ἔχθιστος δέ μοί ἐσσι διοτρεφέων βασιλήων·
1,177,αἰεὶ γάρ τοι ἔρις τε φίλη πόλεμοί τε μάχαι τε·
1,178,"εἰ μάλα καρτερός ἐσσι, θεός που σοὶ τό γ’ἔδωκεν·"
1,179,οἴκαδ’ ἰὼν σὺν νηυσί τε σῇς καὶ σοῖς ἑτάροισι
1,180,"Μυρμιδόνεσσιν ἄνασσε, σέθεν δ’ἐγὼ οὐκ ἀλεγίζω,"
1,181,οὐδ’ ὄθομαι κοτέοντος· ἀπειλήσω δέ τοι ὧδε·
1,182,"ὡς ἔμ’ ἀφαιρεῖται Χρυσηΐδα Φοῖβος Ἀπόλλων,"
1,183,τὴν μὲν ἐγὼ σὺν νηΐ τ’ ἐμῇ καὶ ἐμοῖς ἑτάροισι
1,184,"πέμψω, ἐγὼ δέ κ’ἄγω Βρισηΐδα καλλιπάρῃον"
1,185,αὐτὸς ἰὼν κλισίην δὲ τὸ σὸν γέρας ὄφρ’ ἐῢ εἰδῇς
1,186,"ὅσσον φέρτερός εἰμι σέθεν, στυγέῃ δὲ καὶ ἄλλος"
1,187,ἶσον ἐμοὶ φάσθαι καὶ ὁμοιωθήμεναι ἄντην.
1,188,"ὣς φάτο· Πηλεΐωνι δ’ ἄχος γένετ’, ἐν δέ οἱ ἦτορ"
1,189,"στήθεσσιν λασίοισι διάνδιχα μερμήριξεν,"
1,190,ἢ ὅ γε φάσγανον ὀξὺ ἐρυσσάμενος παρὰ μηροῦ
1,191,"τοὺς μὲν ἀναστήσειεν, ὃ δ’Ἀτρεΐδην ἐναρίζοι,"
1,192,ἦε χόλον παύσειεν ἐρητύσειέ τε θυμόν.
1,193,"ἧος ὃ ταῦθ’ ὥρμαινε κατὰ φρένα καὶ κατὰ θυμόν,"
1,194,"ἕλκετο δ’ἐκ κολεοῖο μέγα ξίφος, ἦλθε δ’Ἀθήνη"
1,195,οὐρανόθεν· πρὸ γὰρ ἧκε θεὰ λευκώλενος Ἥρη
1,196,ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε·
1,197,"στῆ δ’ὄπιθεν, ξανθῆς δὲ κόμης ἕλε Πηλεΐωνα"
1,198,οἴῳ φαινομένη· τῶν δ’ἄλλων οὔ τις ὁρᾶτο·
1,199,"θάμβησεν δ’Ἀχιλεύς, μετὰ δ’ἐτράπετ’, αὐτίκα δ’ἔγνω"
1,200,Παλλάδ’ Ἀθηναίην· δεινὼ δέ οἱ ὄσσε φάανθεν·
1,201,καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα·
1,202,τίπτ’ αὖτ’ αἰγιόχοιο Διὸς τέκος εἰλήλουθας;
1,203,ἦ ἵνα ὕβριν ἴδῃ Ἀγαμέμνονος Ἀτρεΐδαο;
1,204,"ἀλλ’ ἔκ τοι ἐρέω, τὸ δὲ καὶ τελέεσθαι ὀΐω·"
1,205,ᾗς ὑπεροπλίῃσι τάχ’ ἄν ποτε θυμὸν ὀλέσσῃ.
1,206,τὸν δ’αὖτε προσέειπε θεὰ γλαυκῶπις Ἀθήνη·
1,207,"ἦλθον ἐγὼ παύσουσα τὸ σὸν μένος, αἴ κε πίθηαι,"
1,208,οὐρανόθεν· πρὸ δέ μ’ἧκε θεὰ λευκώλενος Ἥρη
1,209,ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε·
1,210,"ἀλλ’ ἄγε λῆγ’ ἔριδος, μηδὲ ξίφος ἕλκεο χειρί·"
1,211,ἀλλ’ ἤτοι ἔπεσιν μὲν ὀνείδισον ὡς ἔσεταί περ·
1,212,"ὧδε γὰρ ἐξερέω, τὸ δὲ καὶ τετελεσμένον ἔσται·"
1,213,καί ποτέ τοι τρὶς τόσσα παρέσσεται ἀγλαὰ δῶρα
1,214,"ὕβριος εἵνεκα τῆσδε· σὺ δ’ἴσχεο, πείθεο δ’ἡμῖν."
1,215,τὴν δ’ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,216,’χρὴ μὲν σφωΐτερόν γε θεὰ ἔπος εἰρύσσασθαι
1,217,καὶ μάλα περ θυμῷ κεχολωμένον· ὧς γὰρ ἄμεινον·
1,218,ὅς κε θεοῖς ἐπιπείθηται μάλα τ’ἔκλυον αὐτοῦ.
1,219,"ἦ καὶ ἐπ’ ἀργυρέῃ κώπῃ σχέθε χεῖρα βαρεῖαν,"
1,220,"ἂψ δ’ἐς κουλεὸν ὦσε μέγα ξίφος, οὐδ’ ἀπίθησε"
1,221,μύθῳ Ἀθηναίης· ἣ δ’Οὔλυμπον δὲ βεβήκει
1,222,δώματ’ ἐς αἰγιόχοιο Διὸς μετὰ δαίμονας ἄλλους.
1,223,Πηλεΐδης δ’ἐξαῦτις ἀταρτηροῖς ἐπέεσσιν
1,224,"Ἀτρεΐδην προσέειπε, καὶ οὔ πω λῆγε χόλοιο·"
1,225,"οἰνοβαρές, κυνὸς ὄμματ’ ἔχων, κραδίην δ’&nbnbsp;ἐλάφοιο,"
1,226,οὔτέ ποτ’ ἐς πόλεμον ἅμα λαῷ θωρηχθῆναι
1,227,οὔτε λόχον δ’ἰέναι σὺν ἀριστήεσσιν Ἀχαιῶν
1,228,τέτληκας θυμῷ· τὸ δέ τοι κὴρ εἴδεται εἶναι.
1,229,ἦ πολὺ λώϊόν ἐστι κατὰ στρατὸν εὐρὺν Ἀχαιῶν
1,230,δῶρ’ ἀποαιρεῖσθαι ὅς τις σέθεν ἀντίον εἴπῃ·
1,231,δημοβόρος βασιλεὺς ἐπεὶ οὐτιδανοῖσιν ἀνάσσεις·
1,232,ἦ γὰρ ἂν Ἀτρεΐδη νῦν ὕστατα λωβήσαιο.
1,233,ἀλλ’ ἔκ τοι ἐρέω καὶ ἐπὶ μέγαν ὅρκον ὀμοῦμαι·
1,234,"ναὶ μὰ τόδε σκῆπτρον, τὸ μὲν οὔ ποτε φύλλα καὶ ὄζους"
1,235,"φύσει, ἐπεὶ δὴ πρῶτα τομὴν ἐν ὄρεσσι λέλοιπεν,"
1,236,οὐδ’ ἀναθηλήσει· περὶ γάρ ῥά ἑ χαλκὸς ἔλεψε
1,237,φύλλά τε καὶ φλοιόν· νῦν αὖτέ μιν υἷες Ἀχαιῶν
1,238,"ἐν παλάμῃς φορέουσι δικασπόλοι, οἵ τε θέμιστας"
1,239,πρὸς Διὸς εἰρύαται· ὃ δέ τοι μέγας ἔσσεται ὅρκος·
1,240,ἦ ποτ’ Ἀχιλλῆος ποθὴ ἵξεται υἷας Ἀχαιῶν
1,241,σύμπαντας· τότε δ’οὔ τι δυνήσεαι ἀχνύμενός περ
1,242,"χραισμεῖν, εὖτ’ ἂν πολλοὶ ὑφ’ Ἕκτορος ἀνδροφόνοιο"
1,243,θνήσκοντες πίπτωσι· σὺ δ’ἔνδοθι θυμὸν ἀμύξεις
1,244,χωόμενος ὅ τ’ἄριστον Ἀχαιῶν οὐδὲν ἔτισας.
1,245,"ὣς φάτο Πηλεΐδης, ποτὶ δὲ σκῆπτρον βάλε γαίῃ"
1,246,"χρυσείοις ἥλοισι πεπαρμένον, ἕζετο δ’αὐτός·"
1,247,Ἀτρεΐδης δ’ἑτέρωθεν ἐμήνιε· τοῖσι δὲ Νέστωρ
1,248,"ἡδυεπὴς ἀνόρουσε λιγὺς Πυλίων ἀγορητής,"
1,249,τοῦ καὶ ἀπὸ γλώσσης μέλιτος γλυκίων ῥέεν αὐδή·
1,250,τῷ δ’ἤδη δύο μὲν γενεαὶ μερόπων ἀνθρώπων
1,251,"ἐφθίαθ’, οἵ οἱ πρόσθεν ἅμα τράφεν ἠδ’ ἐγένοντο"
1,252,"ἐν Πύλῳ ἠγαθέῃ, μετὰ δὲ τριτάτοισιν ἄνασσεν·"
1,253,ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν·
1,254,ὦ πόποι ἦ μέγα πένθος Ἀχαιΐδα γαῖαν ἱκάνει·
1,255,ἦ κεν γηθήσαι Πρίαμος Πριάμοιό τε παῖδες
1,256,ἄλλοι τε Τρῶες μέγα κεν κεχαροίατο θυμῷ
1,257,"εἰ σφῶϊν τάδε πάντα πυθοίατο μαρναμένοιϊν,"
1,258,"οἳ περὶ μὲν βουλὴν Δαναῶν, περὶ δ’ἐστὲ μάχεσθαι."
1,259,ἀλλὰ πίθεσθ’· ἄμφω δὲ νεωτέρω ἐστὸν ἐμεῖο·
1,260,ἤδη γάρ ποτ’ ἐγὼ καὶ ἀρείοσιν ἠέ περ ὑμῖν
1,261,"ἀνδράσιν ὡμίλησα, καὶ οὔ ποτέ μ’οἵ γ’ἀθέριζον."
1,262,"οὐ γάρ πω τοίους ἴδον ἀνέρας οὐδὲ ἴδωμαι,"
1,263,οἷον Πειρίθοόν τε Δρύαντά τε ποιμένα λαῶν
1,264,Καινέα τ’Ἐξάδιόν τε καὶ ἀντίθεον Πολύφημον
1,265,"Θησέα τ’Αἰγεΐδην, ἐπιείκελον ἀθανάτοισιν·"
1,266,κάρτιστοι δὴ κεῖνοι ἐπιχθονίων τράφεν ἀνδρῶν·
1,267,κάρτιστοι μὲν ἔσαν καὶ καρτίστοις ἐμάχοντο
1,268,φηρσὶν ὀρεσκῴοισι καὶ ἐκπάγλως ἀπόλεσσαν.
1,269,καὶ μὲν τοῖσιν ἐγὼ μεθομίλεον ἐκ Πύλου ἐλθὼν
1,270,τηλόθεν ἐξ ἀπίης γαίης· καλέσαντο γὰρ αὐτοί·
1,271,καὶ μαχόμην κατ’ ἔμ’ αὐτὸν ἐγώ· κείνοισι δ’ἂν οὔ τις
1,272,τῶν οἳ νῦν βροτοί εἰσιν ἐπιχθόνιοι μαχέοιτο·
1,273,καὶ μέν μευ βουλέων ξύνιεν πείθοντό τε μύθῳ·
1,274,"ἀλλὰ πίθεσθε καὶ ὔμμες, ἐπεὶ πείθεσθαι ἄμεινον·"
1,275,"μήτε σὺ τόνδ’ ἀγαθός περ ἐὼν ἀποαίρεο κούρην,"
